TimeStamp,ID,Participant,Booking_system,Item,Score,ScoreN,Component
2/4/2022 12:00:33,Tammy,Anthropologist,Cinemaxx,Easy,Neither agree nor disagree,4,Percieved Usefulness
2/4/2022 12:01:10,AL,Participant,Cinemaxx,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 12:05:24,cocio91,Anthropologist,NFB,Easy,Slightly agree,5,Percieved Usefulness
2/4/2022 12:06:55,cocio91,Anthropologist,Cinemaxx,Easy,Agree,6,Percieved Usefulness
2/4/2022 11:41:17,201805308,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:42:28,TRS,Participant,NFB,Useful,Slightly disagree,3,Percieved Usefulness
2/4/2022 11:43:10,201805308,Participant,Cinemaxx,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:44:52,2020,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:45:49,Athen,Participant,Cinemaxx,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:46:01,Jakob,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:47:14,TRS,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:47:17,stine,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:47:18,QWERTY1001,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:48:00,240696xxxxx,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:48:04,anja220,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:48:13,AL,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:48:26,8888,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:48:36,2020,Participant,Cinemaxx,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:32,anja220,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:50:37,Athen,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:57,gamer,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:52:05,Melina,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:52:16,Jakob,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:52:34,stine,Participant,Cinemaxx,Useful,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:39,KK,Anthropologist,NFB,Useful,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:58,ACM,Anthropologist,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:54:36,704314,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:54:37,SK95,Participant,NFB,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:29,gHoStFaCeKiLlEr,Anthropologist,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:55:32,240696xxxx,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:55:34,8888,Participant,Cinemaxx,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:43,QWERTY1001,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:56:18,gamer,Participant,Cinemaxx,Useful,Disagree,2,Percieved Usefulness
2/4/2022 11:56:21,gHoStFaCeKiLlEr,Anthropologist,NFB,Useful,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:34,Melina,Participant,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:56:43,KK,Anthropologist,Cinemaxx,Useful,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:50,704314,Participant,Cinemaxx,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:57:54,ACM,Participant,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:58:20,SK95,Participant,Cinemaxx,Useful,Strongly Agree,7,Percieved Usefulness
2/4/2022 12:00:33,Tammy,Anthropologist,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 12:01:10,AL,Participant,Cinemaxx,Useful,Slightly agree,5,Percieved Usefulness
2/4/2022 12:05:24,cocio91,Anthropologist,NFB,Useful,Agree,6,Percieved Usefulness
2/4/2022 12:06:55,cocio91,Anthropologist,Cinemaxx,Useful,Agree,6,Percieved Usefulness
2/4/2022 11:41:17,201805308,Participant,NFB,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:42:28,TRS,Participant,NFB,Learning_Easy,Disagree,2,Percieved Ease of Use
2/4/2022 11:43:10,201805308,Participant,Cinemaxx,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:44:52,2020,Participant,NFB,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:45:49,Athen,Participant,Cinemaxx,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:46:01,Jakob,Participant,NFB,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:47:14,TRS,Participant,Cinemaxx,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:47:17,stine,Participant,NFB,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:47:18,QWERTY1001,Participant,NFB,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:48:00,240696xxxxx,Participant,NFB,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:48:04,anja220,Participant,Cinemaxx,Learning_Easy,Slightly agree,5,Percieved Ease of Use
2/4/2022 11:48:13,AL,Participant,NFB,Learning_Easy,Slightly disagree,3,Percieved Ease of Use
2/4/2022 11:48:26,8888,Participant,NFB,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:48:36,2020,Participant,Cinemaxx,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:50:32,anja220,Participant,NFB,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:50:37,Athen,Participant,NFB,Learning_Easy,Neither agree nor disagree,4,Percieved Ease of Use
2/4/2022 11:50:57,gamer,Participant,NFB,Learning_Easy,Agree,6,Percieved Ease of Use
2/4/2022 11:52:05,Melina,Participant,Cinemaxx,Learning_Easy,Strongly Agree,7,Percieved Ease of Use
2/4/2022 11:52:16,Jakob,Participant,Cinemaxx,Learning_Easy,Slightly agree,5,Percieved Ease of Use
