"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"bias_detector_agent",1,"wsls_agent",0,16,0,3
"bias_detector_agent",1,"wsls_agent",1,17,1,3
"bias_detector_agent",1,"wsls_agent",1,18,1,3
"bias_detector_agent",1,"wsls_agent",0,19,0,3
"bias_detector_agent",1,"wsls_agent",1,20,1,3
"bias_detector_agent",1,"wsls_agent",0,21,0,3
"bias_detector_agent",1,"wsls_agent",1,22,1,3
"bias_detector_agent",1,"wsls_agent",0,23,0,3
"bias_detector_agent",1,"wsls_agent",1,24,1,3
"bias_detector_agent",1,"wsls_agent",1,25,1,3
"bias_detector_agent",1,"wsls_agent",0,26,0,3
"bias_detector_agent",1,"wsls_agent",1,27,1,3
"bias_detector_agent",1,"wsls_agent",0,28,0,3
"bias_detector_agent",1,"wsls_agent",1,29,1,3
"bias_detector_agent",1,"wsls_agent",0,30,0,3
"bias_detector_agent",1,"wsls_agent",1,31,1,3
"bias_detector_agent",1,"wsls_agent",0,32,0,3
"bias_detector_agent",1,"wsls_agent",1,33,1,3
"bias_detector_agent",0,"wsls_agent",0,34,1,3
"bias_detector_agent",1,"wsls_agent",1,35,1,3
"bias_detector_agent",1,"wsls_agent",0,36,0,3
"bias_detector_agent",1,"wsls_agent",1,37,1,3
"bias_detector_agent",1,"wsls_agent",0,38,0,3
"bias_detector_agent",1,"wsls_agent",1,39,1,3
"bias_detector_agent",1,"wsls_agent",0,40,0,3
"bias_detector_agent",1,"wsls_agent",1,41,1,3
"bias_detector_agent",1,"wsls_agent",0,42,0,3
"bias_detector_agent",1,"wsls_agent",1,43,1,3
"bias_detector_agent",1,"wsls_agent",0,44,0,3
"bias_detector_agent",1,"wsls_agent",0,45,0,3
"bias_detector_agent",0,"wsls_agent",1,46,0,3
"bias_detector_agent",1,"wsls_agent",0,47,0,3
"bias_detector_agent",0,"wsls_agent",1,48,0,3
"bias_detector_agent",1,"wsls_agent",0,49,0,3
"bias_detector_agent",0,"wsls_agent",1,50,0,3
"bias_detector_agent",1,"wsls_agent",0,51,0,3
"bias_detector_agent",0,"wsls_agent",1,52,0,3
"bias_detector_agent",0,"wsls_agent",0,53,1,3
"bias_detector_agent",0,"wsls_agent",1,54,0,3
"bias_detector_agent",1,"wsls_agent",0,55,0,3
"bias_detector_agent",1,"wsls_agent",1,56,1,3
"bias_detector_agent",1,"wsls_agent",0,57,0,3
"bias_detector_agent",1,"wsls_agent",1,58,1,3
"bias_detector_agent",1,"wsls_agent",0,59,0,3
"bias_detector_agent",1,"wsls_agent",1,60,1,3
"bias_detector_agent",1,"wsls_agent",0,61,0,3
"bias_detector_agent",1,"wsls_agent",1,62,1,3
"bias_detector_agent",1,"wsls_agent",0,63,0,3
"bias_detector_agent",1,"wsls_agent",1,64,1,3
"bias_detector_agent",1,"wsls_agent",0,65,0,3
"bias_detector_agent",1,"wsls_agent",0,66,0,3
"bias_detector_agent",1,"wsls_agent",1,67,1,3
"bias_detector_agent",1,"wsls_agent",0,68,0,3
"bias_detector_agent",0,"wsls_agent",1,69,0,3
"bias_detector_agent",1,"wsls_agent",0,70,0,3
"bias_detector_agent",0,"wsls_agent",1,71,0,3
"bias_detector_agent",1,"wsls_agent",0,72,0,3
"bias_detector_agent",0,"wsls_agent",1,73,0,3
"bias_detector_agent",1,"wsls_agent",0,74,0,3
"bias_detector_agent",0,"wsls_agent",1,75,0,3
"bias_detector_agent",1,"wsls_agent",0,76,0,3
"bias_detector_agent",1,"wsls_agent",1,77,1,3
"bias_detector_agent",1,"wsls_agent",0,78,0,3
"bias_detector_agent",1,"wsls_agent",1,79,1,3
"bias_detector_agent",1,"wsls_agent",0,80,0,3
"bias_detector_agent",1,"wsls_agent",1,81,1,3
"bias_detector_agent",1,"wsls_agent",0,82,0,3
"bias_detector_agent",1,"wsls_agent",1,83,1,3
"bias_detector_agent",1,"wsls_agent",0,84,0,3
"bias_detector_agent",1,"wsls_agent",1,85,1,3
"bias_detector_agent",1,"wsls_agent",0,86,0,3
"bias_detector_agent",1,"wsls_agent",1,87,1,3
"bias_detector_agent",0,"wsls_agent",0,88,1,3
"bias_detector_agent",1,"wsls_agent",1,89,1,3
"bias_detector_agent",1,"wsls_agent",0,90,0,3
"bias_detector_agent",0,"wsls_agent",1,91,0,3
"bias_detector_agent",0,"wsls_agent",0,92,1,3
"bias_detector_agent",1,"wsls_agent",1,93,1,3
"bias_detector_agent",1,"wsls_agent",0,94,0,3
"bias_detector_agent",1,"wsls_agent",1,95,1,3
"bias_detector_agent",1,"wsls_agent",0,96,0,3
"bias_detector_agent",0,"wsls_agent",1,97,0,3
"bias_detector_agent",1,"wsls_agent",0,98,0,3
"bias_detector_agent",1,"wsls_agent",1,99,1,3
"bias_detector_agent",1,"wsls_agent",0,100,0,3
