ID,FaceID,Trial_Round1,FirstRating,OtherRating,Trial_Round2,SecondRating,Feedback,Change,Class
14,39,129,6,3,229,6,-3,0,1
14,4,15,6,6,25,4,0,-2,1
14,40,119,7,5,219,6,-2,-1,1
14,41,137,6,4,237,6,-2,0,1
14,42,162,1,3,262,1,2,0,1
14,43,113,2,5,213,4,3,2,1
14,44,167,2,5,267,1,3,-1,1
14,45,138,5,8,238,7,3,2,1
14,46,157,2,0,257,7,-2,5,1
14,47,12,7,7,22,7,0,0,1
14,48,155,5,8,255,6,3,1,1
14,49,134,1,3,234,1,2,0,1
14,5,180,6,8,280,6,2,0,1
14,50,172,3,1,272,7,-2,4,1
14,51,14,2,5,24,2,3,0,1
14,52,121,2,5,221,2,3,0,1
14,53,124,6,8,224,7,2,1,1
14,54,174,2,5,274,2,3,0,1
14,55,156,7,7,256,6,0,-1,1
14,56,146,7,5,246,7,-2,0,1
14,57,114,3,1,214,1,-2,-2,1
14,58,144,1,3,244,1,2,0,1
14,59,116,7,4,216,7,-3,0,1
14,6,127,2,5,227,3,3,1,1
14,60,136,2,4,236,2,2,0,1
14,61,178,3,5,278,5,2,2,1
14,62,175,3,1,275,2,-2,-1,1
14,63,18,6,6,28,6,0,0,1
14,64,131,5,5,231,6,0,1,1
14,65,126,4,2,226,5,-2,1,1
14,66,160,1,3,260,2,2,1,1
14,67,170,8,5,270,7,-3,-1,1
14,68,169,3,5,269,3,2,0,1
14,69,154,6,3,254,3,-3,-3,1
14,7,115,2,4,215,3,2,1,1
14,70,159,3,5,259,4,2,1,1
14,71,19,5,0,29,6,-5,1,1
14,72,123,3,3,223,4,0,1,1
14,73,128,1,1,228,1,0,0,1
14,74,148,5,2,248,2,-3,-3,1
14,75,151,6,3,251,5,-3,-1,1
14,76,171,5,2,271,4,-3,-1,1
14,77,168,6,8,268,5,2,-1,1
14,78,150,2,4,250,2,2,0,1
14,79,147,6,8,247,6,2,0,1
14,8,122,1,1,222,1,0,0,1
14,80,112,3,5,212,2,2,-1,1
14,81,118,4,6,218,5,2,1,1
14,9,165,3,0,265,3,-3,0,1
15,10,113,7,7,213,6,0,-1,1
15,11,169,6,3,269,2,-3,-4,1
15,12,180,1,3,280,2,2,1,1
15,13,139,1,1,239,3,0,2,1
15,14,175,2,2,275,2,0,0,1
15,15,116,3,1,216,5,-2,2,1
15,16,150,1,1,250,2,0,1,1
15,17,141,7,0,241,6,-7,-1,1
15,18,162,8,6,262,7,-2,-1,1
15,19,13,5,7,23,5,2,0,1
15,2,171,3,5,271,3,2,0,1
15,20,125,6,0,225,7,-6,1,1
15,21,123,5,2,223,5,-3,0,1
15,22,177,5,7,277,3,2,-2,1
15,23,174,4,7,274,5,3,1,1
15,24,138,5,3,238,6,-2,1,1
15,25,163,6,8,263,6,2,0,1
15,26,110,7,7,210,7,0,0,1
15,27,165,4,0,265,7,-4,3,1
15,28,143,5,2,243,5,-3,0,1
15,29,14,8,5,24,8,-3,0,1
15,3,119,3,6,219,1,3,-2,1
15,30,11,6,0,21,3,-6,-3,1
15,31,151,1,1,251,1,0,0,1
15,32,16,4,4,26,2,0,-2,1
15,33,142,5,3,242,2,-2,-3,1
15,34,148,3,6,248,5,3,2,1
15,35,147,1,1,247,4,0,3,1
15,36,166,5,2,266,5,-3,0,1
15,37,152,4,2,252,5,-2,1,1
15,38,168,2,4,268,4,2,2,1
15,39,164,2,5,264,4,3,2,1
15,4,157,2,0,257,4,-2,2,1
15,40,12,7,5,22,7,-2,0,1
15,41,19,5,0,29,5,-5,0,1
15,42,112,3,5,212,1,2,-2,1
15,43,17,4,4,27,3,0,-1,1
15,44,115,4,4,215,3,0,-1,1
15,45,130,4,2,230,3,-2,-1,1
15,46,161,7,7,261,5,0,-2,1
15,47,132,6,6,232,7,0,1,1
15,48,127,5,5,227,5,0,0,1
15,49,159,5,2,259,6,-3,1,1
15,5,154,6,4,254,5,-2,-1,1
15,50,18,5,3,28,6,-2,1,1
15,51,134,2,2,234,2,0,0,1
15,52,111,4,6,211,3,2,-1,1
15,53,155,1,4,255,2,3,1,1
15,54,122,4,4,222,5,0,1,1
15,55,121,7,5,221,7,-2,0,1
