Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
Information,2019,1lzl25tt,Human,WSLS,7,0,1,-1
Information,2019,1lzl25tt,Human,WSLS,8,0,1,-1
Information,2019,1lzl25tt,Human,WSLS,9,0,1,-1
Nordic,2019,4mgngh6o,Human,WSLS,1,0,1,-1
Nordic,2019,4mgngh6o,Human,WSLS,10,1,1,1
Nordic,2019,4mgngh6o,Human,WSLS,11,0,0,1
Nordic,2019,4mgngh6o,Human,WSLS,12,1,1,1
Nordic,2019,4mgngh6o,Human,RS,13,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,14,1,0,-1
Nordic,2019,4mgngh6o,Human,RS,15,1,0,-1
Nordic,2019,4mgngh6o,Human,RS,16,1,0,-1
Nordic,2019,4mgngh6o,Human,RS,17,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,18,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,19,0,1,-1
Nordic,2019,4mgngh6o,Human,WSLS,2,1,1,1
Nordic,2019,4mgngh6o,Human,RS,20,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,21,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,22,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,23,0,1,-1
Nordic,2019,4mgngh6o,Human,RS,24,0,1,-1
Nordic,2019,4mgngh6o,Human,WSLS,3,1,0,-1
Nordic,2019,4mgngh6o,Human,WSLS,4,0,0,1
Nordic,2019,4mgngh6o,Human,WSLS,5,0,1,-1
Nordic,2019,4mgngh6o,Human,WSLS,6,1,1,1
Nordic,2019,4mgngh6o,Human,WSLS,7,0,0,1
Nordic,2019,4mgngh6o,Human,WSLS,8,1,1,1
Nordic,2019,4mgngh6o,Human,WSLS,9,0,0,1
CogSci,2019,e442rd3v,Human,WSLS,1,0,1,-1
CogSci,2019,e442rd3v,Human,WSLS,10,0,0,1
CogSci,2019,e442rd3v,Human,WSLS,11,1,1,1
CogSci,2019,e442rd3v,Human,WSLS,12,1,0,-1
CogSci,2019,e442rd3v,Human,RS,13,1,0,-1
CogSci,2019,e442rd3v,Human,RS,14,0,1,-1
CogSci,2019,e442rd3v,Human,RS,15,1,0,-1
CogSci,2019,e442rd3v,Human,RS,16,0,1,-1
CogSci,2019,e442rd3v,Human,RS,17,1,0,-1
CogSci,2019,e442rd3v,Human,RS,18,0,1,-1
CogSci,2019,e442rd3v,Human,RS,19,0,1,-1
CogSci,2019,e442rd3v,Human,WSLS,2,0,1,-1
CogSci,2019,e442rd3v,Human,RS,20,0,1,-1
CogSci,2019,e442rd3v,Human,RS,21,0,1,-1
